input_text,target_text
stackoverflow com really negatively impacted constant abritrary question closure obviously april fool day joke get,Negavively impcated questions will be closed in stackoverflow 
javascript php suck,Sorry I am tired advising you 
elite member time petty question sarcasm,Please stop sarcastic comments 
people give rat as acceptance rate question interest answer grubbing reputation point,Will you please be able to stop posting commnts to get reputation points 
david misspelled absurd,It seems like you mispelled the comment 
nice trick unnecessary much le readable title preceding title keep simple stupid,It seeems like unnecessary You may keep it simple 
would anyone vote close question subjective subjective life whole subjective argumentative reason closing question getting hand think silly reason even,Seems like the question got downvoted It is a subjective reason to make qustions 
wait answer question lame,Please wait for my answer 
believe closed lame,I think the question must be closed
reopen close police getting pretty silly day think subjective question tag add subjective tag ignore list please spoil rest u might interested type questi,I don t think that the question needs to be reopened And the tagging is subjective 
omg stupid site,The site seems to be useless
country company work belong programmer programming language religion employer god programming passion patriotism hey work indian company give best else get may writing yeah,Seems like the programmer is not keping the passion of good programming
lou like direct challenge close facist,It would be better to close the question 
stupid question stupid author,The question does not seem to be useful
john yup still asshole downvoted,I think the question must be downvoted 
bojan yuck seriously need get use one editor high lead proliferation crap like emacs vim bad tool sick prevailing idea everything cook breckfast thes,I think the question needs to be revisited 
known anything question please fuck,Please be careful while making questions
crazy closer give least time newcomer refine question give people illusion power like rep give sh abuse sad ten minute ten minute question closed asker time better explain meant course take closer never wrote program generates program surely write program making closer much likely close question qualified answer pathetic usual,Will you please be able to refine your question The question needs more refinement Otherwise it may get downvoted 
yeah minus good simple question answer minus motherfucker,It does not seems like a useful question
oh yeah ask good question board go die please aid,Will you please be able to stop posting commnts to get reputation points 
nsd fuck u dad mud server wonder creted multi user shit head lol,Seems like the system will not work on multi user evvironment 
forgot initialise output null string end null terminator good luck getting garbage text print,Better you initialize the output to null string 
bloody beggers close question,will you please be able to close the question 
cant one think joel test stupid actually really like joel either software dev opinion especially isreali sympathizing politics,I don t think that the question is a valid one 
answer stupid question like usually state guideline e g wife anders hejlsberg,seems like a less useful question
dirty word get much help,I don t think that you would get help for the question
disabled javascript pebkac,Better disbale javasript for desired output
least pick book subject idiomatic english sound like retard,Sounds like you are tired by trying
put money mouth show u code,Will you please be able to show the code
totally valid question anyone vote close smelly troll,If the question is invalid it may get closed 
sigh measure first optimize stringbuilder actually le efficient string concat concat string use sb suspect user foolish enough type r n time,Seems like the idea is not so efficient 
ok one much read f cking book c flagged mod attention,I think the question needs more attention 
sentence make absolutely sense really plain stupid,Plese don t make palin sentences 
man motherfucker always closing shit fuck faggot,Please don t close down the questions 
hope fucking feel real fucking happy didnt get question asked fucking jerk,I am unhappy to see that the questions got closed 
going get bunch answer comment warning apple going hunt kill asking question ignore,will you please be able to stop commenting on the questions
develop iphone restriction ridiculous boycott,I am boycoting from answering 
install php right world r u u saying dude u pls help install php system idiot hat u genious least think posting ur answer,I think the php ionstallation is not that right 
whoring rep hell make everything community wiki rep entirely,I am offended since it seems like doing to get reputation
dear closed question whyyyyy please god kick bart,I am unhappy to see that the questions got closed 
bad vote asshole,sorry to see that downvoted 
know mother fucker vote instead giving good example link,Better give examples than downvoting 
whiner want explain anything made check answer reason downvoted question answer,It would be good to answer the question than downvoting 
one weirdest ignorant question ever read stackoverflow said,It seems like you are not that proficient to answer 
insist tell throw catch exception post dumbass question stackoverflow expecting someone else think clever way save hubris,It would be good to learn try catch exceptions 
wrong quite seriously would tell nice warm cup shut fuck,It would be nice if you could tell nice 
haha see sort really stupid question like good developer come question real life close,Seems like the question is of less quality 
guy incredibly rude frankly line,It seems like you crossed the limits of politeness 
add complete loser string bow shut,Better add a complete question 
sorry fag shit learned adv c class fuck giving instead dick dont take stab question,It would be good if you could post a better quality question 
cannot convert pedofile tell keep snake away local buddy jason,I just don t know how to explain 
must either scott mill fan live stupid street,The question seems to be less quality 
dimitre sense negative vibe sure problem problem concern maybe contact directly rather indirectly like sure feel need call project fake xpath visualizer real imaginary best,It would be good if you could post a better quality question or comment 
sadly pretty much stupid workaround work dont fuck first place,It s sad to see that the work is not that useful
return tool producer faulty obviously stupid mark generated code follow convention fxcop,Better return tool producer to follow the convention
feel like nazi may one,I am offended because of your attitude
cool judge post factum also cool come question great answer see comment kinda offensive current situation flag good job,Good answers come for good questions 
amrnt oh c mon retard might though course google used many neither really way asking maybe someone recommend useful piece advice unlike,Seems like you are tired of googling Better please don t ask these kind of questions 
fact troll see http stackoverflow com question people use command line instead ide op say first learned c post say learning,Will you pleae be able to stop trolling 
hail dav yes called grammar nazi,I am offended since you do not follow grammar
close message related programming wtf,It seems like the question got closed sad 
pavel add answer stop asswipe,Better stop asnwering these questions 
pavel ivlad pissing contest better solution post,Better post a good solution 
wtf,I am offended by the profanity Please consider repharsing 
look write like stoned,The post seems to be less content 
hey retard go something productive instead randomly closing question,Better refer something before closing the question 
please specific trying like note question without specific make uncomfortable without feel like asked help create kind phishing site,Will you pleae be specific while questioning It makes people uncomfortable 
open worse dumb golf question,seems like a less useful question
klausbyskov paolo aakashm bmargulies chrisf talk chair exercise interview general funny nonsense certification stupid moron,Please don t post interview questions here It seems to be funny and annoying 
hao cover chinese as kick,I am offended Please consider repharsing 
c code already ugly enough stop beating stick,Will you please stop posting these unnecessary questions
know cunt downvoted legit question diodeus virus use popups dick example care take visit site never know infected,Sad to see that the question got downvoted 
tobias kienzler idiot http www acm uiuc edu webmonkeys book c guide html rename,Better refer something before closing the question 
tell goddamn thing comment,It s a less useful comment 
lott seen high rep instead making comment edit post remove tag thought oh see get upvotes whoring comment get higher rep right make perfect sense,It seems like you are posting for reputation Better remove the tag and upvote 
fool learned walk computer,It would be better to refer something before posting here 
blowdart seriously care someone earns badge posting fun question obviously people interested topic like know hard live people know earning fake badge website learn,Seems like you are trying to get badges Seems like a fake website to look into 
packed mom structure last night,I am offended Please consider repharsing 
wtf dude exactly wanted subjective answer help learn understand everyone freaking trigger happy close every post forum sick complain,The answer can be subjective Better close the post 
wtf stay away keyboard please,Will you please stay away from posting
closer get life,I am offended Please consider repharsing 
course want web coding taken seriously know simple widespread language learn language course later btw retarded people downvote everything php word upvote idiot say learn php see problem,Better learn some languages seriously Otherwise you may be tired of answering 
gawd take long forum nazi arrive even ask serious question around day gawd,Please post a serious question here 
fine keep asking stupid question wasting community time,Please don t waste community time by posting unwanted posts 
wont lazy bastard,Please don t be lazy 
stupid solution got anything better,The solution is not of good quality Please post a better solution 
oh want explain entire library everything ever written technique concurrency management arrogant sigh,Seems like the library managemnt does not support concurrency 
ob end flush ob flush flush ob start suggest immediately stop programming brain right know,Please stop posting low quality answers 
dimitris andreou hell talking try answer get aim,Please post valuable answers 
yea like attitude asking pile would offend anyone freaking language good god hurt feeling,Seems like this comment would hurt the feeling of people 
spam hell cocky last couple line reply,please post valid comments 
stop spamming answer comment enough space blather,seems like a less useful comment 
sick nerd getting upset unharmful honest opinion still asking legit question read question answer wanted people experience xsl winy little baby mommy boy said bike pile wah wah wah,Please don t post harmful comments Also please respect people with community experience 
people give rat as questioner acceptance rate either interested question something add reputation grubbing indicates immaturity,It seems like your maturity level is bit low Please do accept the question posted 
remove entire thread getting sick fellow developer cry real initial post way offensive first place good god,Better remove the initial posts to be less offensive 
seen idiocy like practice cost associated people work would busy harsh reality vote want change fact listallcustomers method written someone better work mcdonalds programmer,Please practice well before posting comments 
holy cunt burger noticed havent actually assigned model left variable mybreak sortdate back hour ive finished banging head,It looks like the model has not been assigned And the variable is left blank 
tom another example lame java like explanation mistake design,Will you please be able to make another example
many level lame named folder put apps want drill team good team use gay default folder name stupid begin much work drill,Will you please be able to consider folder naming seriously
yes bad choice bos yes think gay enum flag used db signify somehow disabled whatever,It seeems like a bad choice 
eiffel tower threesome two guy girl guy high fiving girl make eiffel tower shape,I am offended Please consider repharsing 
geek geek dead programming kargill give answer question,Please give answerable question 
aisha looking forward meet right guy total wanker,Looking forward to meet you 
marcur homework add homework tag homework curse accuser,Please don t add homework questions here 
thinking badgewhoring would great term applicable people post fun question order garner badge,Please think twice before posting comments 
troll,will you please stop trolling
lazy use shift key unless forced,Please don t be lazy 
type stored procedure google rep whore,Better you google before answering 
casperone meh could really care le obviously stackoverflow troll anyway sure care,will you please stop trolling
longpoke call name call b answer specifically stated sure pirate could try fake whole battle net server pirated version allow people say real wow economy compete real,Seems like a pirated version 
good idiom ixxx crappy m idiom,Good idiom though
course typical anonymous coward unwilling state answer quote useful care give courtesy flush dropping turd coward,Seems like a typical answer 
jackass answer question better answer post,Please be careful while making questions
bit stupid comment get really lame people day bother make feel big know linq know linq provider,seems like a less useful comment 
function irrelevant question totally useless particular case brain understand,seems like an irrelevant answer 
obama say ipad stupid http www newsweek com id,I am offended since you connected obama and ipad
wtf please quit posting duplicate right instant,Please leave the duplicate questions 
read link idiot prg cannot solve web user go back web form resubmits read op,Please read the links before the form submission 
oh god please save noisy stupid newbie look diagram posted link method implies redirect read begone,Seems like you are very new to this domain 
malloc ok dumb shit read post,please read the post well 
seen shit posted thousand time told already test measure nothing real world question tried answer real world related statement first method little faster wrong people use either method subjective ease use ignorance based stupid test,It seems like not a real world question Better post related questions 
shit even delete comment,Better delete the comment 
much stupider one asking question,Seems like the question is of less quality 
upvoted crap serious problem,Does not seem like a serious question 
yeah time used php give right call stupid well fu moron hear technology abbreviation changing full form first time heard,It seems like a recent technology 
slaks poor,Poor post Please consider rephrasing
yeah pathetic pun,Seems like unnecessary comment 
hate much,I dont think I would like it 
http meta stackexchange com question retarded question,Seems like you are tired of googling Better please dont ask these kind of questions 
atif cron job le ignorant,Seems like you are less proficient in the domain 
vb net bull shit,Vb net does not cater my needs 
clueless idiot think posting bitmap book nothing question achieves think cool somehow well tell,Please posting cool questions 
scott clearly unaware bike shed principle http en wikipedia org wiki parkinson law triviality short question subjective open ended vague almost guaranteed attract crap ton answer vo,Seems like a short question And it is subjective and vague 
brandon yeah hacker going give fuck exploiting csrf,Seems like you are exploiting someone
microsoft fuc stupid,Personally I don t like microsoft 
alexey might want work accept rate pathetic,It would be better to accept work 
also shitting morning wonder else,It seems like a morning joke 
idiot special case store encrypted password,Better go for encrypted password 
sure people politically correct telling bullshit time well make mostly u tick day,Better don t go for political posts here 
nico one ever said detects privacy mode however clearly result differ privacy mode activated think outside box try writing code fukcing boring http milw rm com author,It never detects privacy mode But the privacy mode is activated using your code 
damn moderator furiously writing long answer,the moderator is writing long answers 
dude moron,I am offened because of the post
still think linq query memory object right nhibernate provider memory object querying database stuff happening magic fantastic going start using magic sofwtare heck write software use magic take english st language perhaps get st comment read quite arrogant self satisfied assuming clue talking patronise unhelpful reply offensive book perhaps mean care,Still think that database is doing fantastic things It will be making satisfying results 
tell jealous keep using elsa sucking feature,please awtch out the feature 
flagged offensive possibly worst question attempt ever seen site,I have flagged this for being offensive 
fucking unreal,I am offended since the post seems to be unreal
well well funny guy tonight none god damned business son adopted keep dab make sure fine know ur gonna say dont reason,I am not finding any funny reasons 
oh f cooked solution cooking dinner,Seems like a cooked solution 
try give answer baby kid shut mouth forum share problem find mistake well ur mistake ur age man serious stop kidding people,Seems like you are kidding and will you please stop that 
smug report fucking awesome,I think I should repot this comment 
mike satisfied answer simply say make better go vote come asshole,Please make a satisfying answer 
yeah run dir command relevant directory ask user see file name say stupid question go read book,Better run direct command with relevant directory And ask user file name 
really gay wrong guide letting know,seems like wrong direction 
seem whole discrimination thing clouding people ability think rationally trying many website fallback gracefully javascript disabled evil hater blind people practical question simply asking necessary spend time answer people give match action surprised website fallback gracefully evil discriminatory reason time money business need reality idealism interest,Think rationally before making answers Atleast check websites for learning javascript 
perl die specified mandatory linux standard base,Better specify linux standard base 
oh fuck voter,I am offended because of the voting
human died la,I dont know how to comment on this kind of posts
think troll,Please think twice and stop trolling 
lol care vote came question shitty voting reputation get life kid nothing say go around got good answer previous question getting time nobody even view,Seems like voted for reputation Better serach for goos answers before posting 
sad bunch f kr maybe truth hurt,that may not be true and may hurt others
snake experience language middle aged pussy sucking black hat removed hello lover camel get old life,Better have some experience on the language that you comment 
closed nazi question answer,I closed the question and answer because it seems less productive
mother must proud give fucking algorithm implementation,I just don t like the algorithm because of its implementation
neil could please kindly reply question ever please finding arogant cheeky,Kindly reply to the question politely
robert mussolini p nice see talking like writer book netiquette homeless guy got internet notebook thrown garbage anyway still stupid got style wrong question end still legitimate also mention fuck like changed something rephrase nothing seems site anyone edits stuff something like,It seems like a wrong style of question And does not look legitimate Please rephrase or edit the post 
upmodded hello lover camel much better hallo bitch like evancarroll would say,Better say hello or upvote 
okay close independent developer funeral paying waaay internet connection geez wish joel would implement something stuff like,It seems like the internet connection has lost 
heya gay child porn let bomb amarica,I am offended since you mentioned america and bombing
mitch wheat free electricity fool try understand hardware behaviour quite away domain aquiring static electricity time due poten diff increase needed information,It would be better to understand the hardware behavioura and about the static elecrticity 
bob clue jacka e talking especially since career site question violates rule kind question asked,Please ask valid questions here by following the rules
really get anything stuff like one like conference profession company paid vacation excessive drinking extra marital sex without sex thing course programming,Better you find out one conference company 
answer question point jsf laugh inhumane many developer wasting much life crap inventor jsf inventor retarded strut retard jsf,Seems like the question and answer is pointless 
god hate page apps game facebook,Better you search for facebook app 
delan way arrogant even although think possible grow dear,There is still room for possible growth 
jon harrop well known bias exaggeration half truth respect language like suggest research claim record e g google jon harrop troll taking face value,It seems like exaggeration Better do some research on the language you use and make the comments then 
getting voted jon harrop well known troll decides certain language e g haskell lisp bad go denigrate wherever using mixture half truth biased statistic exaggeration check contribution reddit http www reddit com r programming user jdh example specific thing wrong answer include limited statement book real world haskell sold lot copy received lot praise compared f book list success story,I am voting down the post And please stop trolling 
wow got lot bullshit answer academic failed make haskell useful,The answer seems to less useful acdemically
well ganesh going post opinion answer least clarify person publishing misinformation position credit suisse use haskell wasted lot time hopefully people learn mistake,It seems like a mistake but please be careful 
fact look source vindication open source condemnation crappy documentation use source luke lazy as way documentation anybody document code way shunned anybody even vaguely professional,It seems like an unwanted documentation Please be professional on coding and documenting
gert kind vile racist nonsense belong common decency delete silly comment,Please behave politely here instead of deleting the comment
okay seen latest edit coming across mac snob know intentional would suggest get apparent bias take closer look tool disparaging actually work write crap application xcode know,I think your question needs editing Otherwise it will be downvoted 
always good hence flagging post spam,I m always good Hence flagging this post as spam 
hell overlap meaning,What does that overlap mean
many question nazi site live let live people,Please be polite while questioning here and let others ask questions
this is usually caused by an error sarcasm ,Please do not be sarcastic here
on second thoughts these days the nazis don t scare us as much as israelis do ,It seems like people from different countries think different
several times someone try to reedit my task i think you try to fuck my question so i release my task before you miss,Usually I would reedit my ask before someone else do that
you might get better help if you aren t a jerk to the people trying to help you ,You may get better help if you are friendly with people
 break paragraphs only where indicated it makes your question irritating to read when there are so many line breaks it is called cocoa not cocoa it doesn t stand for anything one question mark will suffice i m not trying to be an ass it s just hard to read and answer questions that are formatted like this ,Break paragraphs only where indicated It makes your question difficlult to read when there are so many line breaks
if you don t have a programming question fuck the hell off ,Please stop if you d not have a programming question
sorry paulie you don t get to be crude and helpful your going to have to make a choice ps i am a fan a fan of open development freedom of choice and the openscreenproject org in contrast you would seem to be a fan of spewing uncontrolled vulgarity ,Sorry man You do not need to be impolite but please be polite to answer
please tell me you didn t vote me down for that you know what else is discouraged on so being a jerk i find it more personal to sign it myself if you don t like that ignore it where do you get off voting someone down for signing their post ,It is discouraging to see being downvoted Hope it is not personal
wait are you saying that you can t just make shit up and expect the computer to understand what a concept ,Hi can you please explain what concept you are looking for 
your foster parents are dead ,I am offended because of the post
well at least go accept answers then because now you looks like ungrateful lazy butt and nobody feel to help you,It would be better accept the answer Otherwise people may consider you lazy and may stop helping you
why everyone going to upvote such a stupid questions if the op knows how to resize he can do crop as well i ts just the same algorithm ,I acnnot find a reason why people upvote such questions The algorithm is not been changed
you call a byte id field a redundancy man you re prevert indeed you d have more than that on your silly delimiters ,It seems like you misunderstood the bytes concept
andrew manual entry can be changed in the future but your shitty copypasted text will remain the same on this shitty site with it s ignorant attitude ,Manual entry can be changed in the future But your copypasted text will remain the same on this site with it s attitude 
this is complete trash gcc give up coding ,The code is completely not useful Better practice coding
i can t believe a question with a good answer by a moderator is closed you guys are nuts ,I cannot believe a question with a good answer by a MODERATOR is closed
all who voted to close it s impossible to objectively answer this question questions of this type are too open ended and usually lead to confrontation and argument are you fucking joking can t you really answer yes it is possible or no it s impossib,It is impossible to objectively answer this question Questions of this type are too open ended and usually lead to confrontation and argument
i applaud your anal retentivity brian ,I am offended by the nature of your post Please consider rephrasing
andrew you advocate lame attitude too much if it was i have tried the man pages but got overwhelmed by it it s o k not questions you do not share knowledge by copypasting man page here you do share ignorance ,you advocate this attitude too much You do not share knowledge by copypasting man page here you do share please
wtf what kind of retarded rule is this ,I cannot understand what rule is this
i g t mad proof ur fuked now,I got the proof man
fukkkkkkkkkkkkkk there goes my million dollar idea man fuk u hostile fork,I cannot go for a million dollar idea man Sorry
fmsf burn in hell see i got my point across quite nicely without greetings or salutations ,See I got my point across quite nicely without greetings or salutations 
why the hell learn java nowadays ,why should learn Java nowadays
bah it shouldn t have been closed i think it would have been neat to get some good opinions the idiots who wrote yes no can go jump off a bridge but i really don t think there s room for argument i was just expecting a civil discussion of each person s point of view at least that s what i gave ,It shouldn t have been closed I think it would have been neat to get some good opinions But I really don t think there s room for argument I was just expecting a civil discussion of each person s point of view
terminology a web server is not a web service a web server is also not a web page any more than a car is all of the crap in the trunk i didn t assume anything web services rarely return a text html content type so the content type can be a good hint as to whether or not a url returns a page which by definition is html or an object xml json binary or what have you read your own freakin answer ,A webserver is not a web service I did not assume anything
whow soneone plaese changes the topic to features stupid programmers dont know because they are too lazy to read the documentation ,Whow Someone plaese change THE TOPIC Features programmers dont know because they are too lazy to read the documentation
josh fuk off it helpful to someone who will see it later,It IS helpful to someone who will see it later
plz give me answer seriously wtf,Please give me some serious answer
python starts to suck when the project scales up ,Python starts to hang when the project scales up 
 is a dick is a lot cooler reading than instanceof dick ,I am offended by the post Please consider rephrasing
what a fucked up language,It seems like foul language Please consider rephrasing
good god m not trying to be a bitch but why do people like you always assume that it matters what editor you re using also it s xcode not xcode the language is called c not c i m retagging your question ,Good God I am not trying to be a fool but why do people like you always assume that it matters what editor you aree using The language is called retagging your question 
the only thing this book opened my eyes to is the fact that ayn rand is an asshole the primary idea of objectivism is that selfishness is good ,The only thing this book opened my eyes to is the fact that Ayn Rand is not good The primary idea of objectivism is that selfishness is good 
so the combination is one two three four five that s the stupidest combination i ve ever heard in my life that s the kinda thing an idiot would have on his air shield ,So the combination is one two three four five That s the worst combination I ve ever heard in my life That s the kinda thing people like you would have on his air shield 
i think the close nazis need to relax this is very topical to the life of being a programmer or anything else that is about the transformation of time money while dealing with balance ,I think the close need to relax This is very topical to the life of being a programmer or anything else that is about the transformation of time money while dealing with balance 
if you have admin access to computer you can t block yourself out no matter what kind of block you install you will be able to remove it yourself and you will do it thinking something like just five more minutes you ll have to improve self control or get a girlfriend either way will work better than cron job ,If you have admin access to computer you can t block yourself out no matter what kind of block you install you will be able to remove it yourself And you will do it thinking something like just five more minutes You ll have to improve self control Or get a girlfriend Either way will work better than cron job 
yeah another stupid answer from my friend ahmed,yeah another bad answer from my friend Ahmed
gzipping already does the thing you moron better think of conditional get implementation,GZipping already does the thing Better think of conditional get implementation
 for bad abuse of terminology mutual exclusion mutex and events are terms from multithreaded programming else statements don t have return addresses i think you might actually mean something that makes sense but what you wrote doesn t ,for bad abuse of terminology Mutual exclusion mutex and events are terms from multithreaded programming Else statements don t have return addresses I think you might actually mean something that makes sense But what you wrote doesn t 
 for using istas anyone who says fashionista clintonista etc if a fag ,for using istas Anyone who says fashionista clintonista etc should change that
stop spaming ,Will you please stop spaming 
remind me never to hire you you obviously can t tolerate a little good natured ribbing and since you felt the need to call my answer stupid hint i posted it as a comment specifically because i didn t feel it was worthy as an answer i have to say your question is one of the most pointless i ve seen on so that s why the lead answer with upvotes begins with a single word um sorry to be unpleasant but you should really reign in the geek rage take it from a guy who knows ,Remind me never to hire you You obviously can t tolerate a little good natured ribbing And since you felt the need to call my answer bad I have to say your question is one of the most pointless I ve seen on SO That s why the lead answer with upvotes begins with a single word Um Sorry to be unpleasant but you should really reign in the geek rage Take it from a guy who knows 
if you remove the stupid typos it works ,If you remove the typos it works 
bloody hell i think my eyes just exploded,I think my eyes just exploded by searching Sorry
sorry the code formatting got fucked and i can t seem to fix it you get the idea though ,Sorry the code formatting did not work and I can t seem to fix it You get the idea though 
the rook fuk off stupid i don t care of your ignorant votes,Rook I am least bothered of your votes
it s a shame in c that you must actually check the type because it will not do any type inferring or anything fancy nifty like that or implement an interface who wants interfaces all over the place though for single functions ,It is a shame in C that you must actually check the type because it will not do ANY type inferring or anything fancy nifty like that Or implement an interface 
holy shit try posting a function that s not pure preprocessed ,Holy sugar try posting a function that is not pure preprocessed 
actually it is a pi finding formulae in action idiot ,Actually it is hard finding formulae in action 
oh stop bitching ,Oh Can you plesae stop posting these less useful posts
did your tiny dick get harder after winning an internet dispute is that common practice for non native english speakers ,Hope you find harder after winning an internet dispute Is that common practice for non native English speakers
i ve been programming professionally for over decades when i say something sucks i say it with authoritah is that alright with you pal,I have been programming professionally for over decades When I say something fails I say it with authority
that stupid sanitize again mysql real escape string can sanitize nothing you noobs ,That again Mysql real escape string can sanitize nothing
oh fuck you all i asked a question just for several unclefuckers to close it,Oh Sad to see that I asked a question just for several others to close it
i did and your contribution sucks ,I did and your contribution will fail
mmm yes itunes is a stellar example of the high quality of software that is available on a mac sarcasm worst piece of software i have ever seen ,Yes ITunes is a stellar example of the high quality of software that is available on a Mac
i m once again aghast that so many high rep users replied to an obvious dupe rep whores ,I am shovcked to see that so many high reputation users replied to an obvious dupe
write a language are you kidding me clearly you re unfamilar with the term opportunity cost ,It seems like you are kidding me Clearly you are unfamilar with the term opportunity cost
yeah dood ur english sux aloneguid s is da bomb ,Yeah man it seems like your is not that good
irb sucks ass compared to ipython though ,It may fail compared to ipython though 
fuck you guys not michael ,I am offended by the postbut not to you Michael
quite stupid solution ,It seems like quite a less useful solution 
a ha no need to be a jerk marked your second comment as offensive just stop it that entire comment is one long trolling spasm does it make you feel good inside ,No need to be lazy Marked your second comment as not useful That entire comment is one long 
jalf i see your real style and how unharsh you wanna be seen by others buhahahaaa you just can t stop yourself from insulting can you ,I see your real style and how unharsh you wanna be seen by others Buhahahaaa You just can t stop yourself from hurting can you 
 shog grow up i bet you don t know everything either you smartass ,Hi grow up I bet you do not know everything either you are smart
fuck them if they re that stupid then they don t deserve your business ,If they are that lazy then they do not deserve your business 
thats what i have raised this question dumbo,Thats what I have raised this question
what we need is a list of losers who surf the web with javascript disabled if their browser supports it ,What we need is a list of users who surf the web with JavaScript disabled if their browser supports it 
you are a moron ,I am offended by the post Please consider rephrasing
nursultan is better than you ,It seems like Nursultan is better than you 
terrible question just asking it shows an irrational hostility to access in my opinion most people who hate access are simply ignorant of how to use it appropriately in my experience ,Looks like a terrible question Just asking it shows an irrational hostility to Access in my opinion Most people who hate Access are simply less informed of how to use it appropriately in my experience 
thwyrm you are very bad with numbers what a pity frankly your question is really stupid ,It seems like you are very bad with numbers Frankly your question is really not that useful
the only person i ever met who considered himself a perl programmer and a haskall programmer was a complete moron he had never stooped to c classic ,The only person I ever met who considered himself a Perl programmer and a Haskall programmer was a complete lazy
why would i learn something that i do not need you fool ,Seems like I must learn something that I do not need
not an excuse it s your answer and it sucks,Does not seem like not an excuse It is your answer and it failed
lol for a second there i thought you said orgasm that turns caffeine into sw and i thought that was so weird ,For a second there I thought you said something that turns caffeine into software
well rude is my first and last name deal with it kid ,Well it is my first and last name Please deal with it dear 
andddd why all of you make vote down ,And I cannotfind a reason why all of you make vote down 
if you mean badgewhoring by profit ,If you mean downvoting please make it clear
ive spoken to hundreds of people on this site you seem to be the only one with a sense of humor i guess all the programmers in america are fat lazy anti social loners and nerds,ive spoken to hundreds of people on this site you seem to be the only one with a sense of humor i guess all the programmers in america are a kind of lazy
try python or die ,Try Python my friend
mitch gay porno ,I am offended by the nature of the post Please try to rephrase it
seems you know crap java works exactly like c in this regard as do all modern garbage colelctors and it also does not keep a list around ,Seems you does not know it Java works exactly like C in this regard and it also does NOT keep a list around 
seeing as how this question was asked and answered over a year ago i m not sure why either of you got to this question except to pad your massive ego s i edited the question because there was a sensitive url in it that i took out the whole thing has been dormant for over a year and it was not my intention to aggravate people who are not monkeys on keyboards check the date bitches ,Seeing as how this question was asked and answered over a year ago I m not sure why either of you got to this question I edited the question because there was a sensitive URL in it that I took out 
press ctrl g and take out your hard disk known bug ,Press CTRL G and take out your hard disk Known bug 
so is not your advertising playground also eldos com cbflt is a worthless piece of useless and expensive software that has no benefits whatsoever it installs a driver anyway there is nothing user mode in it ,SO is not an advertising playground I install a driver anyway there is nothing user mode in it 
this why i always say that the jakarata commons stuff is like a cancer,This why I always say that the jakarata commons stuff is not that useful
even if most people would agree that perl is outdated bracing flame retardant suite there ll be no shortage of arguments for or against ruby and python voting to close as well ,Even if most people would agree that Perl is outdated there will be no shortage of arguments for or against Ruby and Python Voting to close as well 
rcix like i said go brainfuck heck go malbolge ,I think that the question needs to be rephrased
poweroy stupid people are everywhere wwaahhh ,I think that the question needs to be rephrased as the quality is not that good
boy is that a naive answer not to be rude but you may want to know what a rowid is before answering ,It seems like a naive answer not to be impolite but you may want to know what a rowid is before answering 
